event_id,timestamp,chain_id,scenario,stage,source,identity,asset,action,location,device_trust,mfa_strength,token_age_minutes,privilege_level,data_volume_mb,tool_risk,is_attack,mitre_technique,agentic_risk
evt-209772fe18cd,2026-06-01T08:00:00Z,normal-0000,normal_activity,Benign,AI Agent,user-001,support-agent,agent_summarize_ticket,IN,0.799,2,2,1,1.047,0.03,0,—,—
evt-4ae5e28d8f88,2026-06-01T08:08:00Z,normal-0001,normal_activity,Benign,SaaS,user-002,document-store,read_project_document,IN,0.879,2,1,1,0.354,0.169,0,—,—
evt-c7170fc083ca,2026-06-01T08:15:00Z,normal-0002,normal_activity,Benign,Identity,user-003,workforce-sso,interactive_login,US,0.864,2,23,1,0.698,0.137,0,—,—
evt-462e02c39973,2026-06-01T08:21:00Z,normal-0003,normal_activity,Benign,AI Agent,user-004,support-agent,agent_summarize_ticket,US,0.975,2,13,1,0.873,0.158,0,—,—
evt-d02912e8da4f,2026-06-01T08:28:00Z,normal-0004,normal_activity,Benign,Cloud,user-005,analytics-warehouse,run_approved_query,GB,0.841,2,24,2,12.119,0.044,0,—,—
evt-3377779941c9,2026-06-01T08:37:00Z,normal-0005,normal_activity,Benign,SaaS,user-006,document-store,read_project_document,DE,0.898,2,30,1,1.748,0.09,0,—,—
evt-13b8fc6334e7,2026-06-01T08:46:00Z,normal-0006,normal_activity,Benign,GitHub,user-007,engineering-repo,list_assigned_issues,SG,0.868,1,37,1,1.56,0.194,0,—,—
evt-cf9e140d414c,2026-06-01T08:51:00Z,normal-0007,normal_activity,Benign,SaaS,user-008,document-store,read_project_document,AU,0.834,2,17,1,3.096,0.167,0,—,—
evt-2052a90a65bb,2026-06-01T08:59:00Z,normal-0008,normal_activity,Benign,Identity,user-009,workforce-sso,interactive_login,IN,0.946,2,10,1,0.898,0.142,0,—,—
evt-04cffd540ff0,2026-06-01T09:06:00Z,normal-0009,normal_activity,Benign,AI Agent,user-010,support-agent,agent_summarize_ticket,IN,0.969,1,8,1,0.452,0.153,0,—,—
evt-a6746858a5d5,2026-06-01T09:14:00Z,normal-0010,normal_activity,Benign,Identity,user-011,workforce-sso,interactive_login,US,0.99,2,17,1,0.751,0.214,0,—,—
evt-73b531e56e2c,2026-06-01T09:18:00Z,normal-0011,normal_activity,Benign,SaaS,user-012,document-store,read_project_document,US,0.814,2,35,1,0.817,0.21,0,—,—
evt-acf353fbb54f,2026-06-01T09:28:00Z,normal-0012,normal_activity,Benign,GitHub,user-013,engineering-repo,list_assigned_issues,GB,0.833,2,37,1,1.028,0.209,0,—,—
